Detected 32 cores in 1 packages

Core energy units: a1003
Time_unit:10, Energy_unit: 16, Power_unit: 3
Core 2, energy used: 0.00991821W, Package: 126.839W
Core 3, energy used: 0.00991821W, Package: 126.839W
Core 4, energy used: 0.0109863W, Package: 126.839W
Core 5, energy used: 0.0109863W, Package: 126.839W
Core 6, energy used: 0.00274658W, Package: 126.839W
Core 7, energy used: 0.00274658W, Package: 126.839W
Core 8, energy used: 0.00411987W, Package: 126.839W
Core 9, energy used: 0.00411987W, Package: 126.839W
Core 10, energy used: 0.00152588W, Package: 126.587W
Core 11, energy used: 0.00152588W, Package: 126.587W
Core 12, energy used: 0.0050354W, Package: 126.587W
Core 13, energy used: 0.0050354W, Package: 126.587W
Core 14, energy used: 0.00335693W, Package: 126.587W
Core 15, energy used: 0.00335693W, Package: 126.587W
Core sum: 0.0811768W, Time: 8.008806
Core 0, energy used: 0.944061W, Package: 128.872W
Core 1, energy used: 0.944061W, Package: 128.872W
Core 2, energy used: 0.267487W, Package: 128.872W
Core 3, energy used: 0.267487W, Package: 128.872W
Core 4, energy used: 1.07361W, Package: 128.872W
Core 5, energy used: 1.07361W, Package: 128.872W
Core 6, energy used: 1.11618W, Package: 128.872W
Core 7, energy used: 1.11618W, Package: 128.872W
Core 8, energy used: 0.00366211W, Package: 128.872W
Core 9, energy used: 0.00366211W, Package: 128.872W
Core 10, energy used: 0.00152588W, Package: 128.872W
Core 11, energy used: 0.00152588W, Package: 128.872W
Core 12, energy used: 0.00152588W, Package: 128.872W
Core 13, energy used: 0.00152588W, Package: 128.872W
Core 14, energy used: 0.00167847W, Package: 128.872W
Core 15, energy used: 0.00167847W, Package: 128.872W
Core sum: 6.81946W, Time: 9.009394
Core 0, energy used: 0.00518799W, Package: 123.331W
Core 1, energy used: 0.00518799W, Package: 123.331W
Core 2, energy used: 0.0109863W, Package: 123.331W
Core 3, energy used: 0.0109863W, Package: 123.331W
Core 4, energy used: 0.00823975W, Package: 123.331W
Core 5, energy used: 0.00823975W, Package: 123.331W
Core 6, energy used: 0.00167847W, Package: 123.331W
Core 7, energy used: 0.00167847W, Package: 123.331W
Core 8, energy used: 0.00320435W, Package: 123.331W
Core 9, energy used: 0.00320435W, Package: 123.331W
Core 10, energy used: 0.00167847W, Package: 123.093W
Core 11, energy used: 0.00167847W, Package: 123.093W
Core 12, energy used: 0.00350952W, Package: 123.093W
Core 13, energy used: 0.00350952W, Package: 123.093W
Core 14, energy used: 0.00335693W, Package: 123.093W
Core 15, energy used: 0.00335693W, Package: 123.093W
Core sum: 0.0756836W, Time: 10.010466
Core 0, energy used: 0.940094W, Package: 129.17W
Core 1, energy used: 0.940094W, Package: 129.17W
Core 2, energy used: 0.264435W, Package: 129.17W
Core 3, energy used: 0.264435W, Package: 129.17W
Core 4, energy used: 1.07605W, Package: 129.17W
Core 5, energy used: 1.07605W, Package: 129.17W
Core 6, energy used: 1.12579W, Package: 129.17W
Core 7, energy used: 1.12579W, Package: 129.17W
Core 8, energy used: 0.0012207W, Package: 129.17W
Core 9, energy used: 0.0012207W, Package: 129.17W
Core 10, energy used: 0.00350952W, Package: 128.909W
Core 11, energy used: 0.00350952W, Package: 128.909W
Core 12, energy used: 0.00137329W, Package: 128.909W
Core 13, energy used: 0.00137329W, Package: 128.909W
Core 14, energy used: 0.00320435W, Package: 128.909W
Core 15, energy used: 0.00320435W, Package: 128.909W
Core sum: 6.83136W, Time: 11.011068
Core 0, energy used: 0.00808716W, Package: 119.749W
Core 1, energy used: 0.00808716W, Package: 119.749W
Core 2, energy used: 0.0166321W, Package: 119.749W
Core 3, energy used: 0.0166321W, Package: 119.749W
Core 4, energy used: 0.143433W, Package: 119.749W
Core 5, energy used: 0.143433W, Package: 119.749W
Core 6, energy used: 0.00320435W, Package: 119.749W
Core 7, energy used: 0.00320435W, Package: 119.749W
Core 8, energy used: 0.00137329W, Package: 119.749W
Core 9, energy used: 0.00137329W, Package: 119.749W
Core 10, energy used: 0.0012207W, Package: 119.749W
Core 11, energy used: 0.0012207W, Package: 119.749W
Core 12, energy used: 0.00289917W, Package: 119.749W
Core 13, energy used: 0.00289917W, Package: 119.749W
Core 14, energy used: 0.00411987W, Package: 119.749W
Core 15, energy used: 0.00411987W, Package: 119.749W
Core sum: 0.361938W, Time: 12.012100
Core 0, energy used: 0.941467W, Package: 130.043W
Core 1, energy used: 0.941467W, Package: 130.043W
Core 2, energy used: 1.16837W, Package: 130.043W
Core 3, energy used: 1.16837W, Package: 130.043W
Core 4, energy used: 1.07925W, Package: 130.043W
Core 5, energy used: 1.07925W, Package: 130.043W
Core 6, energy used: 1.12518W, Package: 130.043W
Core 7, energy used: 1.12518W, Package: 130.043W
Core 8, energy used: 0.0012207W, Package: 130.043W
Core 9, energy used: 0.0012207W, Package: 130.043W
Core 10, energy used: 0.0012207W, Package: 130.043W
Core 11, energy used: 0.0012207W, Package: 130.043W
Core 12, energy used: 0.00137329W, Package: 130.043W
Core 13, energy used: 0.00137329W, Package: 130.043W
Core 14, energy used: 0.00259399W, Package: 130.043W
Core 15, energy used: 0.00259399W, Package: 130.043W
Core sum: 8.64136W, Time: 13.012653
Core 0, energy used: 0.00946045W, Package: 119.374W
Core 1, energy used: 0.00946045W, Package: 119.374W
Core 2, energy used: 0.0697327W, Package: 119.374W
Core 3, energy used: 0.0697327W, Package: 119.374W
Core 4, energy used: 0.00671387W, Package: 119.374W
Core 5, energy used: 0.00671387W, Package: 119.374W
Core 6, energy used: 0.00152588W, Package: 119.374W
Core 7, energy used: 0.00152588W, Package: 119.374W
Core 8, energy used: 0.00152588W, Package: 119.374W
Core 9, energy used: 0.00152588W, Package: 119.613W
Core 10, energy used: 0.00152588W, Package: 119.613W
Core 11, energy used: 0.00152588W, Package: 119.613W
Core 12, energy used: 0.00305176W, Package: 119.613W
Core 13, energy used: 0.00305176W, Package: 119.613W
Core 14, energy used: 0.00427246W, Package: 119.613W
Core 15, energy used: 0.00427246W, Package: 119.613W
Core sum: 0.195618W, Time: 14.013595
Core 0, energy used: 0.934753W, Package: 128.76W
Core 1, energy used: 0.934753W, Package: 128.76W
Core 2, energy used: 0.903931W, Package: 128.76W
Core 3, energy used: 0.903931W, Package: 128.76W
Core 4, energy used: 0.454712W, Package: 128.76W
Core 5, energy used: 0.454712W, Package: 128.76W
Core 6, energy used: 0.00152588W, Package: 128.76W
Core 7, energy used: 0.00152588W, Package: 128.76W
Core 8, energy used: 0.00335693W, Package: 128.76W
Core 9, energy used: 0.00335693W, Package: 128.76W
Core 10, energy used: 0.00167847W, Package: 128.76W
Core 11, energy used: 0.00167847W, Package: 129.023W
Core 12, energy used: 0.00152588W, Package: 129.023W
Core 13, energy used: 0.00152588W, Package: 129.023W
Core 14, energy used: 0.00289917W, Package: 129.023W
Core 15, energy used: 0.00289917W, Package: 129.023W
Core sum: 4.60876W, Time: 15.014320
Core 0, energy used: 0.00350952W, Package: 119.408W
Core 1, energy used: 0.00350952W, Package: 119.408W
Core 2, energy used: 0.0158691W, Package: 119.408W
Core 3, energy used: 0.0158691W, Package: 119.408W
Core 4, energy used: 0.00946045W, Package: 119.408W
Core 5, energy used: 0.00946045W, Package: 119.408W
Core 6, energy used: 0.00289917W, Package: 119.408W
Core 7, energy used: 0.00289917W, Package: 119.408W
Core 8, energy used: 0.0038147W, Package: 119.408W
Core 9, energy used: 0.0038147W, Package: 119.408W
Core 10, energy used: 0.00274658W, Package: 119.654W
Core 11, energy used: 0.00274658W, Package: 119.654W
Core 12, energy used: 0.00289917W, Package: 119.654W
Core 13, energy used: 0.00289917W, Package: 119.654W
Core 14, energy used: 0.00534058W, Package: 119.654W
Core 15, energy used: 0.00534058W, Package: 119.654W
Core sum: 0.0930786W, Time: 16.015373
Core 0, energy used: 0.0172424W, Package: 126.284W
Core 1, energy used: 0.0172424W, Package: 126.284W
Core 2, energy used: 1.10092W, Package: 126.284W
Core 3, energy used: 1.10092W, Package: 126.284W
Core 4, energy used: 0.0259399W, Package: 126.284W
Core 5, energy used: 0.0259399W, Package: 126.284W
Core 6, energy used: 0.659485W, Package: 126.284W
Core 7, energy used: 0.659485W, Package: 126.284W
Core 8, energy used: 0.0038147W, Package: 126.284W
Core 9, energy used: 0.0038147W, Package: 126.533W
Core 10, energy used: 0.00152588W, Package: 126.533W
Core 11, energy used: 0.00152588W, Package: 126.533W
Core 12, energy used: 0.00152588W, Package: 126.533W
Core 13, energy used: 0.00152588W, Package: 126.533W
Core 14, energy used: 0.00366211W, Package: 126.533W
Core 15, energy used: 0.00366211W, Package: 126.533W
Core sum: 3.62823W, Time: 17.016271
Core 0, energy used: 0.00946045W, Package: 121.518W
Core 1, energy used: 0.00946045W, Package: 121.518W
Core 2, energy used: 0.0276184W, Package: 121.518W
Core 3, energy used: 0.0276184W, Package: 121.518W
Core 4, energy used: 0.0114441W, Package: 121.518W
Core 5, energy used: 0.0114441W, Package: 121.518W
Core 6, energy used: 0.00350952W, Package: 121.518W
Core 7, energy used: 0.00350952W, Package: 121.518W
Core 8, energy used: 0.00976562W, Package: 121.761W
Core 9, energy used: 0.00976562W, Package: 121.761W
Core 10, energy used: 0.0062561W, Package: 121.761W
Core 11, energy used: 0.0062561W, Package: 121.761W
Core 12, energy used: 0.0183105W, Package: 121.761W
Core 13, energy used: 0.0183105W, Package: 121.761W
Core 14, energy used: 0.00595093W, Package: 121.761W
