Detected 32 cores in 1 packages

Core energy units: a1003
Time_unit:10, Energy_unit: 16, Power_unit: 3
Time_unit:0.000976562, Energy_unit: 1.52588e-05, Power_unit: 0.125
Core 0, energy used: 0.0358582W, Package: 116.661W
Core 1, energy used: 0.0253296W, Package: 116.661W
Core 2, energy used: 0.0231934W, Package: 116.661W
Core 3, energy used: 0.0212097W, Package: 116.661W
Core 4, energy used: 0.126038W, Package: 116.661W
Core 5, energy used: 0.014801W, Package: 116.661W
Core 6, energy used: 0.0187683W, Package: 116.903W
Core 7, energy used: 0.31723W, Package: 116.903W
Core 8, energy used: 0.00915527W, Package: 116.89W
Core 9, energy used: 0.00946045W, Package: 116.89W
Core 10, energy used: 0.00701904W, Package: 116.89W
Core 11, energy used: 0.0144958W, Package: 116.89W
Core 12, energy used: 0.00991821W, Package: 116.89W
Core 13, energy used: 0.00930786W, Package: 116.89W
Core 14, energy used: 0.00549316W, Package: 116.89W
Core 15, energy used: 0.67215W, Package: 116.89W
Core sum: 1.31943W, Time: 1.002055
Core 0, energy used: 0.00457764W, Package: 120.925W
Core 1, energy used: 0.00900269W, Package: 120.925W
Core 2, energy used: 0.00656128W, Package: 120.925W
Core 3, energy used: 0.00473022W, Package: 120.925W
Core 4, energy used: 0.00534058W, Package: 120.925W
Core 5, energy used: 0.00640869W, Package: 120.925W
Core 6, energy used: 0.0143433W, Package: 120.925W
Core 7, energy used: 1.22421W, Package: 120.925W
Core 8, energy used: 0.00411987W, Package: 120.683W
Core 9, energy used: 0.00259399W, Package: 120.683W
Core 10, energy used: 0.00549316W, Package: 120.683W
Core 11, energy used: 0.00610352W, Package: 120.683W
Core 12, energy used: 0.00152588W, Package: 120.683W
Core 13, energy used: 0.00656128W, Package: 120.683W
Core 14, energy used: 0.00289917W, Package: 120.925W
Core 15, energy used: 0.00320435W, Package: 120.925W
Core sum: 1.30768W, Time: 2.003520
Core 0, energy used: 0.0325012W, Package: 121.738W
Core 1, energy used: 0.0416565W, Package: 121.738W
Core 2, energy used: 0.0215149W, Package: 121.738W
Core 3, energy used: 0.792694W, Package: 121.738W
Core 4, energy used: 0.0971985W, Package: 121.982W
Core 5, energy used: 0.00823975W, Package: 121.982W
Core 6, energy used: 0.0108337W, Package: 121.982W
Core 7, energy used: 1.23581W, Package: 121.982W
Core 8, energy used: 0.00320435W, Package: 121.981W
Core 9, energy used: 0.00457764W, Package: 121.981W
Core 10, energy used: 0.00335693W, Package: 121.981W
Core 11, energy used: 0.00640869W, Package: 121.981W
Core 12, energy used: 0.00167847W, Package: 121.981W
Core 13, energy used: 0.00564575W, Package: 121.981W
Core 14, energy used: 0.00167847W, Package: 121.981W
Core 15, energy used: 0.00717163W, Package: 121.981W
Core sum: 2.27417W, Time: 3.004884
Core 0, energy used: 0.0416565W, Package: 122.301W
Core 1, energy used: 0.0234985W, Package: 122.301W
Core 2, energy used: 0.0224304W, Package: 122.301W
Core 3, energy used: 0.0201416W, Package: 122.301W
Core 4, energy used: 0.197296W, Package: 122.301W
Core 5, energy used: 0.0131226W, Package: 122.301W
Core 6, energy used: 0.0189209W, Package: 122.301W
Core 7, energy used: 1.35223W, Package: 122.301W
Core 8, energy used: 0.00991821W, Package: 122.06W
Core 9, energy used: 0.00915527W, Package: 122.06W
Core 10, energy used: 0.0111389W, Package: 122.06W
Core 11, energy used: 0.0114441W, Package: 122.06W
Core 12, energy used: 0.0192261W, Package: 122.06W
Core 13, energy used: 0.0105286W, Package: 122.06W
Core 14, energy used: 0.00701904W, Package: 122.301W
Core 15, energy used: 0.63446W, Package: 122.301W
Core sum: 2.40219W, Time: 4.006325
Core 0, energy used: 0.347595W, Package: 121.593W
Core 1, energy used: 0.0656128W, Package: 121.593W
Core 2, energy used: 0.380859W, Package: 121.593W
Core 3, energy used: 0.0172424W, Package: 121.839W
Core 4, energy used: 0.00640869W, Package: 121.839W
Core 5, energy used: 0.0100708W, Package: 121.839W
Core 6, energy used: 0.0100708W, Package: 121.839W
Core 7, energy used: 1.25061W, Package: 121.839W
Core 8, energy used: 0.00289917W, Package: 121.835W
Core 9, energy used: 0.0050354W, Package: 121.835W
Core 10, energy used: 0.00427246W, Package: 121.835W
Core 11, energy used: 0.00854492W, Package: 121.835W
Core 12, energy used: 0.00152588W, Package: 121.835W
Core 13, energy used: 0.00534058W, Package: 121.835W
Core 14, energy used: 0.00137329W, Package: 121.835W
Core 15, energy used: 0.00457764W, Package: 121.835W
Core sum: 2.12204W, Time: 5.007568
Core 0, energy used: 0.00930786W, Package: 121.294W
Core 1, energy used: 0.0151062W, Package: 121.294W
Core 2, energy used: 0.018158W, Package: 121.294W
Core 3, energy used: 0.00457764W, Package: 121.294W
Core 4, energy used: 0.192261W, Package: 121.294W
Core 5, energy used: 0.00869751W, Package: 121.294W
Core 6, energy used: 0.0134277W, Package: 121.294W
Core 7, energy used: 1.23032W, Package: 121.294W
Core 8, energy used: 0.00610352W, Package: 121.295W
Core 9, energy used: 0.00488281W, Package: 121.053W
Core 10, energy used: 0.00610352W, Package: 121.053W
Core 11, energy used: 0.00610352W, Package: 121.053W
Core 12, energy used: 0.0346375W, Package: 121.053W
Core 13, energy used: 0.0062561W, Package: 121.053W
Core 14, energy used: 0.00152588W, Package: 121.053W
Core 15, energy used: 0.00366211W, Package: 121.053W
Core sum: 1.56113W, Time: 6.008945
Core 0, energy used: 0.032959W, Package: 122.378W
Core 1, energy used: 0.0131226W, Package: 122.378W
Core 2, energy used: 0.0230408W, Package: 122.378W
Core 3, energy used: 0.0367737W, Package: 122.378W
Core 4, energy used: 0.0643921W, Package: 122.378W
Core 5, energy used: 0.626831W, Package: 122.621W
Core 6, energy used: 0.017395W, Package: 122.621W
Core 7, energy used: 1.29761W, Package: 122.621W
Core 8, energy used: 0.00961304W, Package: 122.62W
Core 9, energy used: 0.00854492W, Package: 122.62W
Core 10, energy used: 0.0062561W, Package: 122.62W
Core 11, energy used: 0.037384W, Package: 122.62W
Core 12, energy used: 0.00442505W, Package: 122.62W
Core 13, energy used: 0.00793457W, Package: 122.62W
Core 14, energy used: 0.00442505W, Package: 122.62W
Core 15, energy used: 0.562744W, Package: 122.62W
Core sum: 2.75345W, Time: 7.010470
Core 0, energy used: 0.0146484W, Package: 121.161W
Core 1, energy used: 0.0125122W, Package: 121.161W
Core 2, energy used: 0.0132751W, Package: 121.161W
Core 3, energy used: 0.0151062W, Package: 121.161W
Core 4, energy used: 0.00640869W, Package: 121.161W
Core 5, energy used: 0.00686646W, Package: 121.161W
Core 6, energy used: 0.0135803W, Package: 121.161W
Core 7, energy used: 1.22635W, Package: 121.161W
Core 8, energy used: 0.00366211W, Package: 120.918W
Core 9, energy used: 0.093689W, Package: 120.918W
Core 10, energy used: 0.00686646W, Package: 120.918W
Core 11, energy used: 0.00701904W, Package: 120.918W
Core 12, energy used: 0.00152588W, Package: 120.918W
Core 13, energy used: 0.00610352W, Package: 120.918W
Core 14, energy used: 0.00152588W, Package: 121.161W
Core 15, energy used: 0.00473022W, Package: 121.161W
Core sum: 1.43387W, Time: 8.011928
Core 0, energy used: 0.0309753W, Package: 121.057W
Core 1, energy used: 0.0596619W, Package: 121.057W
Core 2, energy used: 0.0120544W, Package: 121.057W
Core 3, energy used: 0.0186157W, Package: 121.057W
Core 4, energy used: 0.00656128W, Package: 121.299W
Core 5, energy used: 0.00808716W, Package: 121.299W
Core 6, energy used: 0.010376W, Package: 121.299W
Core 7, energy used: 1.22787W, Package: 121.299W
Core 8, energy used: 0.00274658W, Package: 121.299W
Core 9, energy used: 0.13443W, Package: 121.299W
Core 10, energy used: 0.00518799W, Package: 121.299W
Core 11, energy used: 0.00930786W, Package: 121.299W
Core 12, energy used: 0.00152588W, Package: 121.299W
Core 13, energy used: 0.00610352W, Package: 121.299W
Core 14, energy used: 0.00152588W, Package: 121.299W
Core 15, energy used: 0.00488281W, Package: 121.299W
Core sum: 1.53992W, Time: 9.013288
Core 0, energy used: 0.0492859W, Package: 114.835W
Core 1, energy used: 0.0192261W, Package: 114.835W
Core 2, energy used: 0.0215149W, Package: 114.835W
Core 3, energy used: 0.0205994W, Package: 114.835W
Core 4, energy used: 0.010376W, Package: 114.835W
Core 5, energy used: 0.012207W, Package: 114.835W
Core 6, energy used: 0.0184631W, Package: 114.835W
Core 7, energy used: 0.00808716W, Package: 114.608W
Core 8, energy used: 0.00717163W, Package: 114.835W
Core 9, energy used: 0.0128174W, Package: 114.835W
Core 10, energy used: 0.0190735W, Package: 114.835W
Core 11, energy used: 0.0244141W, Package: 114.835W
Core 12, energy used: 0.0123596W, Package: 114.835W
Core 13, energy used: 0.0164795W, Package: 114.835W
Core 14, energy used: 0.00717163W, Package: 114.835W
Core 15, energy used: 0.630951W, Package: 114.835W
Core sum: 0.890198W, Time: 10.014916
Core 0, energy used: 0.00793457W, Package: 114.096W
Core 1, energy used: 0.00961304W, Package: 114.096W
Core 2, energy used: 0.0144958W, Package: 114.096W
