GPU Power (W), Time (S), 
40, 1.001805, 
40, 2.003636, 
40, 3.005517, 
40, 4.007359, 
40, 5.009199, 
40, 6.011171, 
40, 7.013060, 
40, 8.015016, 
40, 9.016891, 
34, 10.018758, 
32, 11.020637, 
32, 12.022528, 
32, 13.024404, 
32, 14.026290, 
32, 15.028171, 
13, 16.030892, 
13, 17.033620, 
15, 18.036868, 
10, 19.039995, 
10, 20.042819, 
8, 21.045726, 
8, 22.048633, 
8, 23.051561, 
9, 24.054462, 
8, 25.057364, 
8, 26.060271, 
9, 27.063210, 
8, 28.066126, 
8, 29.069545, 
8, 30.072448, 
9, 31.075392, 
8, 32.078290, 
8, 33.081196, 
8, 34.084095, 
8, 35.087018, 
9, 36.089928, 
8, 37.092841, 
8, 38.095771, 
8, 39.098699, 
8, 40.101616, 
9, 41.104534, 
8, 42.107460, 
8, 43.110380, 
8, 44.113304, 
8, 45.116238, 
8, 46.119184, 
8, 47.122139, 
8, 48.125079, 
8, 49.127953, 
8, 50.130858, 
8, 51.133773, 
8, 52.136666, 
8, 53.139629, 
9, 54.142526, 
8, 55.145436, 
8, 56.148339, 
8, 57.151240, 
8, 58.154143, 
8, 59.157067, 
8, 60.159981, 
8, 61.162898, 
8, 62.165816, 
8, 63.168722, 
8, 64.171655, 
8, 65.174592, 
8, 66.177514, 
8, 67.180552, 
8, 68.183482, 
9, 69.186353, 
8, 70.189246, 
8, 71.192159, 
8, 72.195051, 
8, 73.197938, 
8, 74.200829, 
8, 75.203742, 
8, 76.206638, 
8, 77.209531, 
8, 78.212384, 
8, 79.215268, 
8, 80.218169, 
8, 81.221076, 
8, 82.223981, 
8, 83.226884, 
8, 84.229784, 
8, 85.232694, 
8, 86.235613, 
9, 87.238916, 
8, 88.241839, 
9, 89.244726, 
8, 90.247618, 
8, 91.250516, 
8, 92.253406, 
8, 93.256307, 
8, 94.259606, 
9, 95.262749, 
9, 96.265827, 
9, 97.269223, 
9, 98.272358, 
9, 99.275501, 
9, 100.278611, 
9, 101.281534, 
8, 102.284681, 
8, 103.287604, 
8, 104.290756, 
9, 105.293911, 
8, 106.296833, 
8, 107.299745, 
8, 108.302648, 
8, 109.305541, 
8, 110.308459, 
8, 111.311371, 
8, 112.314292, 
8, 113.317216, 
8, 114.320152, 
8, 115.323094, 
8, 116.326027, 
8, 117.328933, 
8, 118.331835, 
8, 119.334719, 
8, 120.337580, 
8, 121.340483, 
8, 122.343357, 
8, 123.346229, 
8, 124.349125, 
8, 125.352009, 
8, 126.355063, 
8, 127.357957, 
8, 128.360856, 
8, 129.363770, 
8, 130.366664, 
8, 131.369561, 
8, 132.372471, 
8, 133.375367, 
8, 134.378259, 
8, 135.381181, 
8, 136.384278, 
8, 137.387168, 
8, 138.390079, 
8, 139.393017, 
8, 140.395940, 
8, 141.398850, 
8, 142.401776, 
8, 143.404721, 
8, 144.407657, 
8, 145.410587, 
8, 146.413508, 
8, 147.416393, 
8, 148.419290, 
8, 149.422281, 
8, 150.425215, 
8, 151.428100, 
8, 152.431035, 
8, 153.433926, 
8, 154.436843, 
8, 155.439735, 
8, 156.442646, 
8, 157.445525, 
8, 158.448435, 
8, 159.451340, 
8, 160.454221, 
8, 161.457135, 
8, 162.460038, 
8, 163.462933, 
8, 164.465812, 
8, 165.468831, 
8, 166.471734, 
8, 167.474617, 
8, 168.477548, 
8, 169.480453, 
8, 170.483362, 
8, 171.486247, 
8, 172.489120, 
8, 173.492032, 
8, 174.494941, 
8, 175.497813, 
8, 176.500692, 
8, 177.503591, 
8, 178.506463, 
8, 179.509312, 
8, 180.512154, 
8, 181.515021, 
8, 182.518256, 
9, 183.521518, 
9, 184.525003, 
9, 185.528137, 
8, 186.531279, 
9, 187.534390, 
9, 188.537523, 
8, 189.540485, 
8, 190.543601, 
8, 191.546502, 
8, 192.549618, 
8, 193.552726, 
8, 194.555587, 
8, 195.558697, 
8, 196.561845, 
8, 197.564954, 
8, 198.568133, 
8, 199.571242, 
8, 200.574413, 
8, 201.577559, 
8, 202.580467, 
8, 203.583344, 
8, 204.586260, 
8, 205.589410, 
8, 206.592315, 
8, 207.595158, 
8, 208.598063, 
8, 209.600964, 
8, 210.603919, 
8, 211.606804, 
8, 212.609737, 
8, 213.612657, 
8, 214.615559, 
8, 215.618412, 
8, 216.621316, 
8, 217.624231, 
8, 218.627125, 
8, 219.630028, 
