GPU Power (W), Time (S), 
154, 1.150682, 
154, 1.152156, 
154, 1.153621, 
154, 1.155134, 
154, 1.156596, 
117, 1.166096, 
117, 1.167584, 
117, 1.169060, 
117, 1.170540, 
117, 1.172014, 
117, 1.173466, 
117, 1.175009, 
117, 1.176515, 
129, 1.184235, 
129, 1.185713, 
129, 1.187180, 
129, 1.188652, 
129, 1.190147, 
129, 1.191617, 
129, 1.193140, 
129, 1.194610, 
129, 1.196102, 
129, 1.197618, 
145, 1.207827, 
145, 1.209296, 
145, 1.210766, 
145, 1.212227, 
145, 1.213689, 
145, 1.215144, 
145, 1.216672, 
152, 1.228731, 
152, 1.230197, 
152, 1.231662, 
152, 1.233127, 
152, 1.234585, 
152, 1.236147, 
152, 1.237613, 
158, 1.250073, 
158, 1.251620, 
158, 1.253118, 
158, 1.254560, 
158, 1.256025, 
158, 1.257488, 
163, 1.271494, 
163, 1.272981, 
163, 1.274478, 
163, 1.275949, 
163, 1.277445, 
158, 1.291435, 
158, 1.292962, 
158, 1.294431, 
158, 1.295901, 
158, 1.297357, 
160, 1.312416, 
160, 1.313883, 
160, 1.315340, 
160, 1.316836, 
167, 1.333087, 
167, 1.334579, 
167, 1.336060, 
167, 1.337873, 
154, 1.352722, 
154, 1.354197, 
154, 1.355623, 
154, 1.357071, 
149, 1.370256, 
149, 1.371851, 
149, 1.373400, 
149, 1.374953, 
149, 1.376500, 
149, 1.378045, 
155, 1.391525, 
155, 1.393318, 
155, 1.394865, 
155, 1.396515, 
155, 1.398141, 
161, 1.411921, 
161, 1.413485, 
161, 1.415024, 
161, 1.416559, 
161, 1.418105, 
150, 1.431999, 
150, 1.433546, 
150, 1.435089, 
150, 1.436635, 
150, 1.438189, 
160, 1.451941, 
160, 1.453510, 
160, 1.455074, 
160, 1.457455, 
165, 1.472961, 
165, 1.478481, 
165, 1.493363, 
165, 1.494953, 
165, 1.496484, 
165, 1.498034, 
152, 1.512886, 
152, 1.514450, 
152, 1.515994, 
152, 1.517526, 
140, 1.528681, 
140, 1.530255, 
140, 1.531727, 
140, 1.533192, 
140, 1.534663, 
140, 1.536135, 
140, 1.537687, 
174, 1.552249, 
174, 1.553792, 
174, 1.555342, 
174, 1.556889, 
174, 1.558360, 
168, 1.576257, 
168, 1.577743, 
134, 1.596118, 
134, 1.597582, 
134, 1.599034, 
163, 1.610730, 
163, 1.612194, 
163, 1.613635, 
163, 1.615058, 
163, 1.616504, 
163, 1.617974, 
163, 1.620228, 
148, 1.636940, 
148, 1.638484, 
127, 1.652263, 
127, 1.653751, 
127, 1.655205, 
127, 1.656707, 
127, 1.658199, 
154, 1.671887, 
154, 1.673372, 
154, 1.674852, 
154, 1.676333, 
154, 1.677814, 
154, 1.679238, 
159, 1.694587, 
159, 1.696100, 
159, 1.697609, 
159, 1.699093, 
95, 1.712469, 
95, 1.713942, 
95, 1.715398, 
95, 1.716999, 
95, 1.718499, 
106, 1.727832, 
106, 1.729295, 
106, 1.730749, 
106, 1.735062, 
106, 1.736665, 
106, 1.738260, 
106, 1.740048, 
113, 1.752323, 
113, 1.754617, 
113, 1.756103, 
113, 1.757615, 
113, 1.759112, 
110, 1.771470, 
110, 1.773060, 
110, 1.774594, 
110, 1.776185, 
110, 1.777764, 
110, 1.779360, 
97, 1.791163, 
97, 1.792642, 
97, 1.794126, 
97, 1.795593, 
97, 1.797053, 
97, 1.798513, 
97, 1.800057, 
112, 1.811153, 
112, 1.812624, 
112, 1.814122, 
112, 1.815576, 
112, 1.817113, 
112, 1.818615, 
112, 1.820157, 
100, 1.830339, 
100, 1.831804, 
100, 1.833228, 
100, 1.834663, 
100, 1.836107, 
100, 1.837552, 
100, 1.839070, 
91, 1.850515, 
91, 1.852005, 
91, 1.853495, 
91, 1.854998, 
91, 1.856432, 
91, 1.857914, 
91, 1.859344, 
115, 1.872227, 
115, 1.873658, 
115, 1.875126, 
115, 1.876596, 
115, 1.878111, 
115, 1.879556, 
157, 1.896489, 
157, 1.897966, 
157, 1.899564, 
127, 1.917751, 
127, 1.919212, 
127, 1.920702, 
147, 1.936433, 
147, 1.937900, 
147, 1.939354, 
147, 1.940849, 
170, 1.960646, 
155, 1.973789, 
155, 1.975265, 
155, 1.976712, 
155, 1.978183, 
155, 1.979621, 
155, 1.981113, 
155, 1.990443, 
155, 1.991912, 
155, 1.993415, 
155, 1.994909, 
155, 1.996357, 
155, 1.997850, 
155, 1.999310, 
155, 2.000795, 
161, 2.010901, 
161, 2.012413, 
161, 2.013928, 
161, 2.015377, 
161, 2.016861, 
161, 2.018300, 
161, 2.019741, 
161, 2.021272, 
149, 2.031399, 
149, 2.032930, 
149, 2.034438, 
149, 2.035961, 
149, 2.037493, 
149, 2.038996, 
149, 2.040489, 
160, 2.054583, 
160, 2.056321, 
160, 2.057878, 
160, 2.059421, 
160, 2.060965, 
158, 2.074598, 
158, 2.076228, 
158, 2.077776, 
158, 2.079326, 
158, 2.080865, 
160, 2.095547, 
160, 2.097105, 
160, 2.098647, 
160, 2.100190, 
160, 2.101755, 
147, 2.115537, 
147, 2.117099, 
147, 2.118640, 
147, 2.120187, 
147, 2.121756, 
112, 2.130592, 
112, 2.132153, 
112, 2.133728, 
112, 2.135232, 
112, 2.136782, 
112, 2.138322, 
112, 2.139865, 
112, 2.141399, 
132, 2.149350, 
132, 2.150905, 
132, 2.152439, 
132, 2.153978, 
132, 2.155513, 
132, 2.157120, 
132, 2.158659, 
132, 2.160215, 
132, 2.161769, 
149, 2.177632, 
149, 2.179181, 
149, 2.180723, 
153, 2.198452, 
153, 2.199992, 
153, 2.201527, 
159, 2.219456, 
159, 2.221012, 
154, 2.241721, 
159, 2.261761, 
163, 2.282279, 
167, 2.302405, 
152, 2.322529, 
151, 2.339337, 
151, 2.340766, 
151, 2.342197, 
156, 2.362484, 
162, 2.376739, 
162, 2.378219, 
162, 2.379665, 
162, 2.381099, 
162, 2.382530, 
147, 2.396819, 
147, 2.398248, 
147, 2.399676, 
147, 2.401097, 
147, 2.402515, 
