GPU Power (W), Time (S), 
118, 0.959725, 
118, 0.961202, 
118, 0.962674, 
118, 0.964146, 
118, 0.965620, 
118, 0.967118, 
104, 0.974794, 
104, 0.976349, 
104, 0.977881, 
104, 0.979421, 
104, 0.984521, 
104, 0.986023, 
104, 0.987502, 
122, 0.994727, 
122, 0.996218, 
122, 0.997688, 
122, 0.999159, 
122, 1.000714, 
122, 1.002250, 
122, 1.003719, 
122, 1.005191, 
122, 1.006659, 
122, 1.008131, 
152, 1.017408, 
152, 1.021263, 
152, 1.022822, 
152, 1.024360, 
152, 1.025855, 
152, 1.027326, 
152, 1.028818, 
163, 1.036653, 
163, 1.038154, 
163, 1.039629, 
163, 1.041066, 
163, 1.042545, 
163, 1.044015, 
163, 1.045488, 
163, 1.046928, 
163, 1.048399, 
168, 1.058985, 
168, 1.062101, 
168, 1.063586, 
168, 1.065058, 
168, 1.066569, 
168, 1.068065, 
173, 1.082127, 
173, 1.083680, 
173, 1.085142, 
173, 1.086609, 
173, 1.088080, 
175, 1.100456, 
175, 1.103283, 
175, 1.104725, 
175, 1.106179, 
175, 1.107619, 
175, 1.109050, 
127, 1.118355, 
127, 1.119847, 
127, 1.121302, 
127, 1.122801, 
127, 1.124294, 
127, 1.125746, 
127, 1.127179, 
127, 1.128634, 
153, 1.138357, 
153, 1.139831, 
153, 1.141267, 
153, 1.142685, 
153, 1.144139, 
153, 1.145604, 
153, 1.147060, 
167, 1.168492, 
167, 1.170045, 
167, 1.171599, 
153, 1.182883, 
153, 1.184436, 
153, 1.185985, 
153, 1.187519, 
153, 1.189054, 
153, 1.190590, 
144, 1.200871, 
144, 1.202422, 
144, 1.203974, 
144, 1.205516, 
144, 1.207048, 
144, 1.208590, 
144, 1.210122, 
144, 1.211666, 
157, 1.220275, 
157, 1.221837, 
157, 1.223393, 
157, 1.224958, 
157, 1.226524, 
157, 1.228102, 
157, 1.229698, 
157, 1.231289, 
152, 1.241893, 
152, 1.243486, 
152, 1.245023, 
152, 1.246556, 
152, 1.248099, 
152, 1.249632, 
152, 1.251178, 
139, 1.263028, 
139, 1.264586, 
139, 1.266115, 
139, 1.267666, 
139, 1.269549, 
139, 1.271102, 
160, 1.282436, 
160, 1.283983, 
160, 1.285525, 
160, 1.287068, 
160, 1.288617, 
160, 1.290151, 
160, 1.291709, 
146, 1.307140, 
146, 1.309099, 
146, 1.310636, 
146, 1.312160, 
116, 1.320383, 
116, 1.321930, 
116, 1.323476, 
116, 1.325020, 
116, 1.326551, 
116, 1.328108, 
116, 1.329658, 
116, 1.331201, 
116, 1.332781, 
107, 1.339141, 
107, 1.340692, 
107, 1.342117, 
107, 1.343540, 
107, 1.344959, 
107, 1.346379, 
107, 1.347852, 
107, 1.349325, 
107, 1.350775, 
107, 1.352253, 
114, 1.358683, 
114, 1.360134, 
114, 1.361571, 
114, 1.363012, 
114, 1.364441, 
114, 1.365884, 
114, 1.367325, 
114, 1.368765, 
114, 1.370207, 
114, 1.371645, 
136, 1.381649, 
136, 1.383119, 
136, 1.384573, 
136, 1.386081, 
136, 1.387562, 
136, 1.389039, 
136, 1.390514, 
136, 1.391958, 
167, 1.403398, 
167, 1.404873, 
167, 1.406353, 
167, 1.407898, 
167, 1.409335, 
167, 1.410773, 
167, 1.412217, 
152, 1.422738, 
152, 1.424180, 
152, 1.425598, 
152, 1.427027, 
152, 1.428457, 
152, 1.429926, 
152, 1.431395, 
152, 1.432872, 
161, 1.443418, 
161, 1.444910, 
161, 1.446397, 
161, 1.447883, 
161, 1.449328, 
161, 1.450783, 
161, 1.452227, 
140, 1.464666, 
140, 1.466110, 
140, 1.467533, 
140, 1.468957, 
140, 1.470377, 
140, 1.471794, 
141, 1.480441, 
141, 1.481905, 
141, 1.483386, 
141, 1.484860, 
141, 1.490291, 
141, 1.491728, 
141, 1.493144, 
169, 1.501736, 
169, 1.503236, 
169, 1.504706, 
169, 1.506185, 
169, 1.507714, 
169, 1.509225, 
169, 1.510782, 
169, 1.512308, 
171, 1.526843, 
171, 1.528534, 
171, 1.530091, 
171, 1.531633, 
171, 1.533125, 
161, 1.544043, 
161, 1.545600, 
161, 1.547194, 
161, 1.548748, 
161, 1.550412, 
161, 1.551961, 
161, 1.553499, 
151, 1.563057, 
151, 1.564632, 
151, 1.566183, 
151, 1.567726, 
151, 1.569273, 
151, 1.570861, 
151, 1.572417, 
146, 1.587808, 
166, 1.604531, 
166, 1.606085, 
166, 1.607646, 
166, 1.609200, 
166, 1.610771, 
166, 1.612322, 
166, 1.613898, 
116, 1.622471, 
116, 1.627199, 
116, 1.628749, 
116, 1.630303, 
116, 1.631858, 
116, 1.633413, 
150, 1.642220, 
150, 1.643725, 
150, 1.645214, 
150, 1.646687, 
150, 1.648273, 
150, 1.649768, 
150, 1.651244, 
150, 1.653862, 
133, 1.669263, 
133, 1.672559, 
133, 1.674038, 
133, 1.675597, 
111, 1.683143, 
111, 1.684709, 
111, 1.686253, 
111, 1.687799, 
111, 1.689359, 
111, 1.690905, 
111, 1.692451, 
111, 1.693997, 
111, 1.695544, 
107, 1.702414, 
107, 1.703980, 
107, 1.705525, 
107, 1.707076, 
107, 1.708653, 
107, 1.710217, 
107, 1.711754, 
107, 1.713297, 
107, 1.714836, 
127, 1.722600, 
127, 1.724169, 
127, 1.725727, 
127, 1.727281, 
127, 1.728842, 
127, 1.730399, 
127, 1.731947, 
127, 1.733457, 
127, 1.734889, 
145, 1.744446, 
145, 1.745936, 
145, 1.747416, 
145, 1.748899, 
145, 1.750370, 
145, 1.751860, 
145, 1.753365, 
145, 1.754879, 
145, 1.756645, 
162, 1.770246, 
162, 1.771774, 
162, 1.773206, 
162, 1.774629, 
162, 1.776040, 
154, 1.787569, 
154, 1.789063, 
154, 1.790499, 
154, 1.791923, 
154, 1.793336, 
154, 1.794787, 
154, 1.796237, 
159, 1.807985, 
159, 1.809465, 
159, 1.810933, 
159, 1.812393, 
159, 1.813853, 
159, 1.815292, 
131, 1.828659, 
131, 1.830249, 
131, 1.831680, 
131, 1.833118, 
131, 1.834549, 
131, 1.836030, 
142, 1.843840, 
142, 1.845358, 
142, 1.846863, 
142, 1.848330, 
142, 1.849797, 
142, 1.851383, 
142, 1.852886, 
142, 1.854368, 
142, 1.855829, 
157, 1.867157, 
157, 1.868619, 
157, 1.870135, 
157, 1.871611, 
157, 1.873115, 
157, 1.874565, 
157, 1.876009, 
160, 1.887727, 
160, 1.889283, 
160, 1.890806, 
160, 1.892264, 
160, 1.893783, 
160, 1.895205, 
160, 1.896692, 
152, 1.905573, 
152, 1.907070, 
152, 1.908533, 
152, 1.910029, 
152, 1.911533, 
152, 1.913023, 
152, 1.914521, 
152, 1.916016, 
139, 1.925937, 
139, 1.927394, 
139, 1.928894, 
139, 1.930587, 
139, 1.932030, 
139, 1.933650, 
139, 1.935140, 
139, 1.936642, 
147, 1.947948, 
147, 1.949400, 
147, 1.950899, 
147, 1.952344, 
147, 1.953853, 
147, 1.955278, 
147, 1.956783, 
167, 1.967701, 
167, 1.969200, 
167, 1.970643, 
167, 1.972120, 
167, 1.973560, 
167, 1.975095, 
167, 1.976534, 
150, 1.985611, 
150, 1.987143, 
150, 1.988611, 
150, 1.993316, 
150, 1.994877, 
150, 1.996341, 
175, 2.007452, 
175, 2.010406, 
175, 2.011941, 
175, 2.013492, 
175, 2.015040, 
175, 2.016584, 
133, 2.027492, 
133, 2.028923, 
133, 2.030353, 
133, 2.031778, 
133, 2.033201, 
133, 2.034621, 
133, 2.036146, 
133, 2.037643, 
111, 2.044060, 
111, 2.045548, 
111, 2.047066, 
111, 2.048542, 
111, 2.050110, 
111, 2.051641, 
111, 2.053198, 
111, 2.054790, 
111, 2.056354, 
111, 2.058117, 
108, 2.064838, 
108, 2.066318, 
108, 2.067797, 
108, 2.069269, 
108, 2.070763, 
108, 2.072239, 
108, 2.073711, 
108, 2.075183, 
108, 2.076679, 
154, 2.086002, 
154, 2.087501, 
154, 2.088977, 
154, 2.090445, 
154, 2.091906, 
154, 2.093373, 
154, 2.094854, 
154, 2.096321, 
154, 2.097816, 
168, 2.107633, 
168, 2.109117, 
168, 2.110757, 
168, 2.112222, 
168, 2.113682, 
168, 2.115146, 
168, 2.116665, 
168, 2.118168, 
166, 2.128557, 
166, 2.130031, 
166, 2.131495, 
166, 2.132965, 
166, 2.134425, 
166, 2.135895, 
166, 2.137362, 
160, 2.148523, 
160, 2.150098, 
160, 2.151618, 
160, 2.153082, 
160, 2.154542, 
